y,x
311.8480766,30.77325985
440.9428203,32.40036401
41.67440394,13.89723636
417.7435492,30.82835825
177.3641929,21.17246769
639.0727129,41.70051632
179.9234705,20.52949353
19.64962619,16.78781985
1030.218388,47.05620779
211.6078393,24.73312355
468.7970153,33.30567621
281.9640782,27.20706278
360.4149125,28.98507213
626.3254173,33.98695594
692.872023,40.61913194
840.8115519,44.14024106
71.51773521,14.71966464
97.75643075,18.69046519
251.0696757,26.53533651
81.51287507,19.5152903
270.3444523,28.00065015
1221.872769,49.81578074
110.3151536,20.33469645
595.4411545,38.29435809
126.2188199,13.26268271
11.15998833,16.73084014
230.5542374,24.64803616
77.30250077,15.9931945
1117.462801,48.85319572
122.5683835,18.10107592
932.6649823,44.75007268
911.0598954,44.23208104
255.6624518,24.3353749
810.0097056,41.1866707
210.4744715,20.06741334
9.884425273,11.10680833
75.98361857,11.67822818
153.6595187,20.20391674
578.7254207,38.05732226
93.28379101,12.89078679
378.1101735,27.82776152
203.9408222,25.83180468
837.9017646,43.87759375
44.45671063,11.49287608
1145.79017,48.94833161
1073.485056,47.30909845
431.1394155,30.53461059
343.5504328,28.6565758
810.0664583,41.2582829
